Shipment_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Delay_Days,Delay_Status,On_Time_Flag,Origin_City,Origin_State,Origin_Region,Destination_City,Destination_State,Destination_Region,Route_ID,Distance_Miles,Warehouse_ID,Warehouse_City,Warehouse_State,Carrier,Ship_Mode,Product_Category,Product_Weight_kg,Order_Value,Shipping_Cost,Customer_Segment,Customer_ID,Weather_Condition,Traffic_Condition
SHP-2024-0084571,2024-02-09,2024-02-15,,,,,Chicago,IL,Central,Seattle,WA,West,RT-0120,1621,WH-009,Minneapolis,MN,UPS,Standard,Food & Beverage,443.48,8622.06,75.22,B2C,CUST-06784,Rain,Medium
SHP-2022-0002656,2022-07-02,2022-07-12,,,,,Charlotte,NC,South,Philadelphia,PA,East,RT-0087,1255,WH-002,Dallas,TX,DHL,Standard,Electronics,417.26,14806.62,42.03,B2B,CUST-07082,Clear,Low
SHP-2022-0397656,2022-10-10,2022-10-13,,,,,Las Vegas,NV,West,New York,NY,East,RT-0183,2405,WH-004,New York,NY,UPS,Express,Apparel,317.46,11602.13,117.42,B2B,CUST-05805,Clear,Low
SHP-2024-0097979,2024-12-03,2024-12-05,,,,,Detroit,MI,Central,Las Vegas,NV,West,RT-0053,2571,WH-006,Seattle,WA,FedEx,Express,Apparel,179.58,12446.44,130.45,B2B,CUST-01326,Clear,Medium
SHP-2021-0377872,2021-04-21,2021-04-23,,,,,Baltimore,MD,East,Portland,OR,West,RT-0189,2506,WH-001,Chicago,IL,UPS,Express,Electronics,269.68,3028.05,242.7,B2B,CUST-01181,Snow,High
SHP-2022-0276448,2022-12-28,2023-01-07,,,,,Columbus,OH,Central,Philadelphia,PA,East,RT-0125,1141,WH-010,Phoenix,AZ,FedEx,Standard,Furniture,468.14,2444.57,109.56,B2C,CUST-07659,Clear,Severe
SHP-2023-0143831,2023-02-17,2023-02-20,,,,,Boston,MA,East,Atlanta,GA,South,RT-0019,94,WH-008,Houston,TX,FedEx,Express,Industrial,497.87,7949.59,321.3,B2B,CUST-04948,Rain,Low
SHP-2021-0194982,2021-07-10,2021-07-17,,,,,Seattle,WA,West,Miami,FL,South,RT-0088,449,WH-007,Philadelphia,PA,FedEx,Ground,Electronics,445.3,4252.9,144.78,B2B,CUST-04899,Snow,High
SHP-2023-0263928,2023-02-11,2023-02-13,,,,,Seattle,WA,West,Los Angeles,CA,West,RT-0148,864,WH-007,Philadelphia,PA,UPS,Air,Industrial,468.6,14364.18,286.48,B2C,CUST-03765,Clear,High
SHP-2021-0035172,2021-03-17,2021-03-24,,,,,Dallas,TX,South,Newark,NJ,East,RT-0047,1693,WH-008,Houston,TX,UPS,Standard,Medical Supplies,162.95,4455.69,23.69,Government,CUST-01545,Clear,Medium
