year,month_name,ontime,total_orders,avg_delay,total_percent,total_delaypercent
2023,Dec,3037,9313,9.3258,32.61,67.39
2022,Aug,4808,9217,9.3599,52.16,47.84
2021,Aug,4701,9142,9.2817,51.42,48.58
2024,Apr,4949,8954,9.3223,55.27,44.73
2023,Oct,5007,9089,9.3310,55.09,44.91
2021,Jan,4019,9168,9.3428,43.84,56.16
2023,Nov,2932,8996,9.2894,32.59,67.41
2022,Oct,5201,9416,9.2251,55.24,44.76
2024,Jan,3919,9244,9.3645,42.40,57.60
2022,Feb,3681,8405,9.4056,43.80,56.20
2022,Apr,4909,8859,9.2104,55.41,44.59
2024,Feb,3774,8681,9.3041,43.47,56.53
2021,Dec,2990,9221,9.2253,32.43,67.57
2021,Jul,4825,9388,9.3079,51.40,48.60
2023,May,5122,9134,9.2144,56.08,43.92
2024,Nov,2931,8944,9.3596,32.77,67.23
2024,Jul,4778,9218,9.3095,51.83,48.17
2022,Jun,4564,8861,9.2604,51.51,48.49
2021,Mar,5265,9387,9.1169,56.09,43.91
2024,Oct,5166,9233,9.3469,55.95,44.05
2022,Dec,3123,9287,9.3253,33.63,66.37
2022,Jan,4044,9348,9.3543,43.26,56.74
2023,Mar,5214,9244,9.4350,56.40,43.60
2021,May,5196,9323,9.4076,55.73,44.27
2022,Nov,2944,9069,9.4163,32.46,67.54
2021,Nov,2980,9046,9.4766,32.94,67.06
2022,Jul,4721,9159,9.2616,51.54,48.46
2024,Aug,4908,9286,9.4493,52.85,47.15
2022,Mar,5248,9378,9.2443,55.96,44.04
2021,Apr,5030,8973,9.3807,56.06,43.94
2023,Feb,3685,8382,9.2612,43.96,56.04
2022,Sep,5030,9151,9.2601,54.97,45.03
2023,Jul,4771,9224,9.2079,51.72,48.28
2024,Mar,5127,9264,9.2932,55.34,44.66
2022,May,5140,9164,9.3713,56.09,43.91
2021,Feb,3501,8266,9.2283,42.35,57.65
2024,May,5161,9270,9.2662,55.67,44.33
2021,Jun,4605,9052,9.3081,50.87,49.13
2024,Dec,3089,9332,9.2042,33.10,66.90
2023,Sep,4912,8890,9.4354,55.25,44.75
2023,Aug,4868,9444,9.3147,51.55,48.45
2021,Oct,5186,9218,9.3931,56.26,43.74
2023,Jan,3952,9183,9.2831,43.04,56.96
2024,Sep,4980,8811,9.3279,56.52,43.48
2023,Jun,4604,8868,9.3070,51.92,48.08
2024,Jun,4589,8916,9.4204,51.47,48.53
2021,Sep,4935,8848,9.2055,55.78,44.22
2023,Apr,5109,9062,9.4905,56.38,43.62
