year,quater,ontime,total_orders,avg_delay,total_percent,total_delaypercent
2023,4,10976,27398,9.3137,40.06,59.94
2022,3,14559,27527,9.2946,52.89,47.11
2021,3,14461,27378,9.2679,52.82,47.18
2024,2,14699,27140,9.3379,54.16,45.84
2021,1,12785,26821,9.2376,47.67,52.33
2022,4,11268,27772,9.3335,40.57,59.43
2024,1,12820,27189,9.3233,47.15,52.85
2022,1,12973,27131,9.3393,47.82,52.18
2022,2,14613,26884,9.2807,54.36,45.64
2021,4,11156,27485,9.3601,40.59,59.41
2023,2,14835,27064,9.3359,54.81,45.19
2024,4,11186,27509,9.2970,40.66,59.34
2024,3,14666,27315,9.3634,53.69,46.31
2023,1,12851,26809,9.3196,47.94,52.06
2021,2,14831,27348,9.3637,54.23,45.77
2023,3,14551,27558,9.3151,52.80,47.20
