Route_ID,ontime,total,percent
RT-0152,785,2223,35
RT-0123,1100,2184,50
RT-0008,760,2249,34
RT-0188,1141,2197,52
RT-0131,1046,2144,49
RT-0133,1057,2116,50
RT-0023,730,2076,35
RT-0111,1155,2287,51
RT-0075,1064,2180,49
RT-0166,1107,2213,50
RT-0147,1139,2241,51
RT-0084,1155,2288,50
RT-0055,1142,2232,51
RT-0177,1141,2216,51
RT-0051,1127,2220,51
RT-0179,1115,2171,51
RT-0176,1115,2207,51
RT-0058,742,2126,35
RT-0143,1036,2095,49
RT-0197,1132,2226,51
RT-0198,1116,2148,52
RT-0046,1069,2205,48
RT-0035,1072,2136,50
RT-0178,1089,2177,50
RT-0110,1091,2237,49
RT-0148,1115,2185,51
RT-0031,1100,2184,50
RT-0136,1099,2186,50
RT-0009,782,2231,35
RT-0125,1104,2189,50
RT-0160,1100,2174,51
RT-0185,1145,2236,51
RT-0044,1120,2211,51
RT-0161,1121,2245,50
RT-0049,1136,2211,51
RT-0093,1130,2167,52
RT-0183,1070,2151,50
RT-0151,1017,2104,48
RT-0001,1060,2153,49
RT-0120,1112,2137,52
RT-0011,1044,2120,49
RT-0159,1087,2093,52
RT-0130,1096,2184,50
RT-0076,1159,2275,51
RT-0016,1125,2218,51
RT-0195,1170,2216,53
RT-0139,1067,2147,50
RT-0005,1109,2203,50
RT-0157,1114,2206,50
RT-0192,1120,2209,51
RT-0141,1074,2219,48
RT-0079,1138,2230,51
RT-0065,1081,2165,50
RT-0108,1131,2243,50
RT-0170,1154,2245,51
RT-0080,1140,2232,51
RT-0069,1108,2193,51
RT-0102,1094,2192,50
RT-0064,1091,2127,51
RT-0037,1154,2207,52
RT-0196,1090,2118,51
RT-0193,1037,2105,49
RT-0165,1077,2190,49
RT-0199,1140,2209,52
RT-0036,695,2081,33
RT-0039,1127,2203,51
RT-0095,1052,2145,49
RT-0155,1106,2141,52
RT-0020,1083,2180,50
RT-0162,1062,2119,50
RT-0113,1058,2100,50
RT-0171,1061,2149,49
RT-0164,769,2226,35
RT-0019,1104,2174,51
RT-0056,731,2067,35
RT-0025,1127,2177,52
RT-0003,1106,2139,52
RT-0173,1132,2243,50
RT-0186,1124,2227,50
RT-0070,1106,2214,50
RT-0068,1061,2137,50
RT-0124,1110,2139,52
RT-0096,1078,2195,49
RT-0063,771,2220,35
RT-0158,1069,2167,49
RT-0115,1078,2182,49
RT-0149,1097,2238,49
RT-0140,767,2244,34
RT-0089,1126,2239,50
RT-0167,1071,2114,51
RT-0091,1201,2233,54
RT-0180,1074,2140,50
RT-0144,1066,2108,51
RT-0030,1090,2207,49
RT-0053,1133,2222,51
RT-0062,1079,2112,51
RT-0071,816,2266,36
RT-0184,1149,2202,52
RT-0072,1185,2265,52
RT-0013,1141,2212,52
RT-0077,1101,2151,51
RT-0187,1120,2172,52
RT-0067,1067,2213,48
RT-0010,1073,2114,51
RT-0156,1083,2188,49
RT-0182,1174,2257,52
RT-0142,1111,2210,50
RT-0018,1089,2166,50
RT-0168,1149,2249,51
RT-0121,1093,2104,52
RT-0118,1149,2204,52
RT-0012,1089,2161,50
RT-0083,1085,2172,50
RT-0107,1098,2242,49
RT-0150,1082,2174,50
RT-0191,1029,2123,48
RT-0027,759,2194,35
RT-0021,1081,2180,50
RT-0022,1085,2130,51
RT-0082,1027,2084,49
RT-0048,1097,2227,49
RT-0129,1138,2199,52
RT-0041,1084,2144,51
RT-0189,754,2225,34
RT-0116,1077,2190,49
RT-0127,1127,2162,52
RT-0040,1116,2191,51
RT-0169,1074,2145,50
RT-0103,1119,2198,51
RT-0081,1050,2134,49
RT-0047,1104,2254,49
RT-0145,1103,2162,51
RT-0017,1084,2180,50
RT-0042,1082,2165,50
RT-0099,1069,2115,51
RT-0097,1139,2198,52
RT-0078,1077,2161,50
RT-0002,1171,2208,53
RT-0122,1123,2196,51
RT-0074,1076,2124,51
RT-0038,1085,2183,50
RT-0132,1076,2087,52
RT-0043,1098,2123,52
RT-0060,753,2124,35
RT-0029,760,2183,35
RT-0106,1076,2159,50
RT-0085,1171,2264,52
RT-0054,1077,2167,50
RT-0026,1091,2182,50
RT-0181,1084,2228,49
RT-0066,1090,2151,51
RT-0088,1113,2183,51
RT-0045,1115,2188,51
RT-0057,1143,2279,50
RT-0174,779,2163,36
RT-0004,1097,2254,49
RT-0105,1100,2196,50
RT-0137,1051,2144,49
RT-0128,1121,2238,50
RT-0154,1106,2162,51
RT-0101,1062,2147,49
RT-0153,1090,2147,51
RT-0112,1104,2208,50
RT-0175,1094,2146,51
RT-0052,1095,2177,50
RT-0090,1137,2211,51
RT-0087,1108,2166,51
RT-0104,1176,2264,52
RT-0146,1113,2171,51
RT-0163,1156,2233,52
RT-0119,1122,2250,50
RT-0094,1069,2135,50
RT-0135,1124,2203,51
RT-0109,701,2156,33
RT-0126,1082,2176,50
RT-0006,1101,2231,49
RT-0024,734,2154,34
RT-0061,1046,2081,50
RT-0073,1092,2213,49
RT-0007,771,2195,35
RT-0033,1141,2237,51
RT-0059,1042,2128,49
RT-0114,1087,2119,51
RT-0138,1122,2196,51
RT-0117,1044,2128,49
RT-0028,1069,2221,48
RT-0034,1120,2235,50
RT-0015,1073,2187,49
RT-0100,1111,2162,51
RT-0086,1098,2184,50
RT-0032,1049,2184,48
RT-0172,1091,2181,50
RT-0050,1110,2168,51
RT-0014,1106,2186,51
RT-0092,1065,2194,49
RT-0134,1096,2178,50
RT-0190,727,2121,34
RT-0098,1087,2109,52
RT-0194,1078,2103,51
RT-0200,1101,2188,50
